[407.4363959921195, 115]
[133.82585330268466, 95]
[133.0394601453889, 75]
[128.58139750889347, 197]
[113.10294777891141, 192]
[111.55033806218243, 141]
[102.37358035887756, 76]
[102.13979892458725, 162]
[99.85003222823215, 163]
[99.71588230474792, 202]
[93.51415625288061, 71]
[93.3970614666261, 205]
[92.79459591006486, 201]
[90.04117028701897, 61]
[89.93659156142972, 143]
[87.42170834319215, 114]
[84.96240928343568, 168]
[84.06730209902004, 208]
[82.87402094565425, 96]
[82.82056619589049, 206]
[81.9019423722368, 104]
[81.00075620318904, 121]
[78.81181257925776, 142]
[76.3185438667333, 107]
[76.28848792867355, 135]
[76.12506826422879, 92]
[75.8256949050621, 83]
[74.456653409889, 26]
[74.24726854602223, 224]
[74.1182890825271, 111]
[71.92295764496849, 183]
[71.31930896467617, 122]
[71.17115603878216, 94]
[71.13184705839556, 98]
[71.07853832518546, 165]
[70.90808692142889, 72]
[70.14970186496531, 146]
[70.08420189310925, 188]
[69.97768564654416, 185]
[69.86088137954054, 207]
[69.76770096283174, 180]
[69.28395782262194, 74]
[68.80435575748598, 179]
[68.71443611519004, 160]
[68.6453761303605, 136]
[68.1129552362552, 128]
[68.01837249944205, 11]
[67.81729137574519, 67]
[67.6733897279151, 167]
[67.08515971023083, 139]
[67.08261149742705, 60]
[66.77669301040196, 182]
[66.47843892994081, 80]
[66.39508277995195, 81]
[66.21055091689925, 186]
[65.86354703942261, 37]
[65.80460034442663, 191]
[65.4308501665015, 117]
[65.2324519937685, 189]
[65.13937493928424, 40]
[65.02541484533796, 184]
[64.75030557287263, 215]
[64.56974000504113, 145]
[64.23199615419027, 85]
[63.665852137140305, 9]
[62.95638085473648, 134]
[62.3294917173977, 195]
[61.907862998554606, 24]
[61.73590227851034, 137]
[61.67092356526257, 155]
[61.561574910096745, 156]
[61.17288071968729, 196]
[61.01311533071484, 82]
[60.99022417617601, 301]
[60.846911357102314, 177]
[60.830191095611816, 138]
[60.78697542718832, 127]
[60.52283741982245, 133]
[60.43945135251715, 304]
[60.15766156833034, 171]
[60.09600455477907, 287]
[60.07510083922354, 290]
[59.924059284777904, 51]
[59.28146338568364, 84]
[59.27983852979655, 35]
[59.08485887584985, 263]
[58.63241594230723, 173]
[58.265595232971876, 250]
[58.155527113566365, 64]
[57.946944984580945, 190]
[57.53977901201625, 150]
[57.468134706258994, 257]
[57.412616025389106, 53]
[57.18863593507704, 158]
[57.03898070761869, 223]
[57.034174213254, 49]
[57.011829735193096, 303]
[56.91064083634021, 17]
[56.86012161206349, 269]
[56.85006104962238, 233]
[56.77276684565989, 93]
[56.43932737264591, 278]
[56.393526242613596, 54]
[56.39088234920416, 116]
[56.333922129200005, 292]
[56.0890457568601, 252]
[56.05657746684013, 97]
[56.04557984282083, 178]
[56.02145886171209, 106]
[55.859917807416515, 36]
[55.827881041987126, 242]
[55.65607257761314, 296]
[55.43297822445658, 113]
[55.30547424298703, 65]
[55.29017588683968, 5]
[55.15608982693941, 7]
[55.090774580671294, 112]
[55.047815482984646, 77]
[54.62503243946626, 124]
[54.604954406179004, 251]
[54.58331028086111, 149]
[54.5787910040714, 47]
[54.52031940130065, 243]
[54.42136192399574, 28]
[54.19089635466044, 309]
[54.15990890004562, 175]
[54.082553505494246, 262]
[54.02176201108077, 299]
[53.89033783026131, 123]
